"BILL_PERIOD","BILLNUMAMEND","BILL_NORM"
"2007-2008","A1097","A1097"
"2007-2008","A1098","A1098"
"2007-2008","A916","A916"
"2007-2008","A917","A917"
"2007-2008","A833-A","A833A"
"2007-2008","A1144","A1144"
"2007-2008","A1145","A1145"
"2007-2008","A1146","A1146"
"2007-2008","A1147","A1147"
"2007-2008","A1148","A1148"
"2007-2008","A1129","A1129"
"2007-2008","A1173","A1173"
"2007-2008","A1174-B","A1174B"
"2007-2008","A1175","A1175"
"2007-2008","A1176","A1176"
"2007-2008","A1177","A1177"
"2007-2008","A646","A646"
"2007-2008","A647","A647"
"2007-2008","A648","A648"
"2007-2008","A753","A753"
"2007-2008","A754","A754"
"2007-2008","A755","A755"
"2007-2008","A756","A756"
"2007-2008","A757","A757"
"2007-2008","A758","A758"
"2007-2008","A759","A759"
"2007-2008","A760","A760"
"2007-2008","A761","A761"
"2007-2008","A762","A762"
"2007-2008","A913","A913"
"2007-2008","A914","A914"
"2007-2008","A863","A863"
"2007-2008","A864","A864"
"2007-2008","A865","A865"
"2007-2008","A866","A866"
"2007-2008","A867","A867"
"2007-2008","A868","A868"
"2007-2008","A869","A869"
"2007-2008","A870","A870"
"2007-2008","A871","A871"
"2007-2008","A872","A872"
"2007-2008","A834","A834"
"2007-2008","A835","A835"
"2007-2008","A836","A836"
"2007-2008","A837","A837"
"2007-2008","A838","A838"
"2007-2008","A927","A927"
"2007-2008","A1062","A1062"
"2007-2008","A1063","A1063"
"2007-2008","A1064","A1064"
"2007-2008","A1065","A1065"
"2007-2008","A1066","A1066"
"2007-2008","A1178","A1178"
"2007-2008","A1179","A1179"
"2007-2008","A1180","A1180"
"2007-2008","A1181","A1181"
"2007-2008","A1182","A1182"
"2007-2008","A1149","A1149"
"2007-2008","A1150-A","A1150A"
"2007-2008","A1151","A1151"
"2007-2008","A1152","A1152"
"2007-2008","A1249","A1249"
"2007-2008","A1250","A1250"
"2007-2008","A1251","A1251"
"2007-2008","A1238","A1238"
"2007-2008","A1239","A1239"
"2007-2008","A1240","A1240"
"2007-2008","A1241-A","A1241A"
"2007-2008","A1242","A1242"
"2007-2008","A1243","A1243"
"2007-2008","A1244","A1244"
"2007-2008","A1245","A1245"
"2007-2008","A1246","A1246"
"2007-2008","A1247","A1247"
"2007-2008","A1118","A1118"
"2007-2008","A1196","A1196"
"2007-2008","A1197","A1197"
"2007-2008","A1198","A1198"
"2007-2008","A1199","A1199"
"2007-2008","A1252-A","A1252A"
"2007-2008","A1253-B","A1253B"
"2007-2008","A1254","A1254"
